,inventory,month,count,min,median,max,mean
0,nasa,1,28942,13.390000343322754,78.00499725341797,888.7000122070312,144.13704132402736
0,nasa,2,28942,11.319999694824219,56.66999816894531,657.280029296875,102.4342132540944
0,nasa,3,28942,12.819999694824219,61.73500061035156,674.7000122070312,111.40194181466381
0,nasa,4,28942,10.930000305175781,50.4900016784668,445.5799865722656,83.22608147329142
0,nasa,5,28942,12.569999694824219,52.47999954223633,290.7300109863281,64.4495758758897
0,nasa,6,28942,8.479999542236328,36.279998779296875,214.1199951171875,45.1916116716191
0,nasa,7,28942,2.049999952316284,12.960000038146973,106.72000122070312,16.902653367078987
0,nasa,8,28942,2.5399999618530273,12.680000305175781,152.42999267578125,18.023188618616544
0,nasa,9,28942,3.819999933242798,19.325000762939453,302.70001220703125,34.540224846244215
0,nasa,10,28942,11.949999809265137,44.22999954223633,592.4299926757812,85.60182433833184
0,nasa,11,28942,12.100000381469727,70.56999969482422,1052.7099609375,141.5779230875544
0,nasa,12,28942,16.139999389648438,87.58999633789062,874.6199951171875,156.79980650957086
0,slidoh,1,16414,13.390000343322754,68.80000305175781,812.780029296875,124.6306658949677
0,slidoh,2,16414,11.319999694824219,50.7400016784668,628.969970703125,92.76861216035093
0,slidoh,3,16414,14.270000457763672,54.61000061035156,674.7000122070312,99.1779121481662
0,slidoh,4,16414,14.279999732971191,49.18499755859375,440.82000732421875,79.26366973315463
0,slidoh,5,16414,16.450000762939453,51.75,242.32000732421875,63.628929572316316
0,slidoh,6,16414,8.479999542236328,31.799999237060547,156.72999572753906,39.35746923358109
0,slidoh,7,16414,2.049999952316284,11.619999885559082,39.72999954223633,12.555720345436821
0,slidoh,8,16414,2.7799999713897705,11.300000190734863,66.22000122070312,13.194874611612038
0,slidoh,9,16414,6.539999961853027,16.049999237060547,168.97999572753906,26.405541763129037
0,slidoh,10,16414,11.949999809265137,37.64500045776367,416.8500061035156,66.85863439746558
0,slidoh,11,16414,12.100000381469727,58.08000183105469,755.8800048828125,115.87559400511758
0,slidoh,12,16414,16.139999389648438,76.91000366210938,836.5,143.7396582185939
0,slidod,1,16414,13.390000343322754,68.80000305175781,812.780029296875,124.6306658949677
0,slidod,2,16414,11.319999694824219,50.7400016784668,628.969970703125,92.76861216035093
0,slidod,3,16414,14.270000457763672,54.61000061035156,674.7000122070312,99.1779121481662
0,slidod,4,16414,14.279999732971191,49.18499755859375,440.82000732421875,79.26366973315463
0,slidod,5,16414,16.450000762939453,51.75,242.32000732421875,63.628929572316316
0,slidod,6,16414,8.479999542236328,31.799999237060547,156.72999572753906,39.35746923358109
0,slidod,7,16414,2.049999952316284,11.619999885559082,39.72999954223633,12.555720345436821
0,slidod,8,16414,2.7799999713897705,11.300000190734863,66.22000122070312,13.194874611612038
0,slidod,9,16414,6.539999961853027,16.049999237060547,168.97999572753906,26.405541763129037
0,slidod,10,16414,11.949999809265137,37.64500045776367,416.8500061035156,66.85863439746558
0,slidod,11,16414,12.100000381469727,58.08000183105469,755.8800048828125,115.87559400511758
0,slidod,12,16414,16.139999389648438,76.91000366210938,836.5,143.7396582185939
0,seattle,1,24,129.52000427246094,135.364990234375,149.6999969482422,136.25833129882812
0,seattle,2,24,83.38999938964844,92.69000244140625,100.33000183105469,92.57541910807292
0,seattle,3,24,99.8499984741211,104.74000549316406,112.95999908447266,104.7933349609375
0,seattle,4,24,66.08000183105469,74.77000427246094,83.66000366210938,74.23583475748698
0,seattle,5,24,45.349998474121094,49.12999725341797,53.52000045776367,49.20916748046875
0,seattle,6,24,37.130001068115234,40.834999084472656,46.279998779296875,41.25333150227865
0,seattle,7,24,15.479999542236328,20.065000534057617,22.229999542236328,19.477083841959637
0,seattle,8,24,18.559999465942383,22.380001068115234,25.729999542236328,22.652915954589844
0,seattle,9,24,37.4900016784668,40.04499816894531,44.2400016784668,40.3187510172526
0,seattle,10,24,86.41999816894531,94.95500183105469,103.69999694824219,95.1683349609375
0,seattle,11,24,132.6699981689453,148.19500732421875,155.25,147.10791015625
0,seattle,12,24,139.72999572753906,147.9949951171875,163.3800048828125,148.99541219075522
0,wlc,1,12528,23.200000762939453,98.71499633789062,888.7000122070312,169.69400542784163
0,wlc,2,12528,14.119999885559082,68.54499816894531,657.280029296875,115.09794061302682
0,wlc,3,12528,12.819999694824219,74.23500061035156,652.77001953125,127.41766443167305
0,wlc,4,12528,10.930000305175781,52.939998626708984,445.5799865722656,88.41758461047255
0,wlc,5,12528,12.569999694824219,53.63999938964844,290.7300109863281,65.52477450510855
0,wlc,6,12528,9.0600004196167,44.71500015258789,214.1199951171875,52.835408684546614
0,wlc,7,12528,2.130000114440918,19.014999389648438,106.72000122070312,22.59794061302682
0,wlc,8,12528,2.5399999618530273,18.459999084472656,152.42999267578125,24.34917534722222
0,wlc,9,12528,3.819999933242798,26.920000076293945,302.70001220703125,45.19816610791826
0,wlc,10,12528,13.90999984741211,62.834999084472656,592.4299926757812,110.15886414431674
0,wlc,11,12528,18.030000686645508,100.72000122070312,1052.7099609375,175.2527338761175
0,wlc,12,12528,22.360000610351562,108.01499938964844,874.6199951171875,173.91099936143038
